Folder,TimeObj1,TimeObj2,Discrimination_Index_1,Discrimination_Index_2,Quadrant1,Quadrant2
Mouse4161-2024-08-19-08h42m37s,29.949,36.213,-0.095,0.095,3,1
Mouse4161-2024-08-19-11h49m17s,30.382,42.495,-0.166,0.166,3,2
Mouse4162-2024-08-19-08h43m04s,44.111,29.748,0.194,-0.194,4,2
Mouse4162-2024-08-19-11h49m34s,29.461,45.035,-0.209,0.209,4,1
Mouse4163-2024-08-19-08h41m33s,20.826,33.466,-0.233,0.233,4,1
Mouse4163-2024-08-19-11h48m14s,27.947,24.178,0.072,-0.072,3,1
Mouse4164-2024-08-19-08h42m05s,48.433,33.652,0.180,-0.180,3,2
Mouse4164-2024-08-19-11h48m49s,43.774,13.374,0.532,-0.532,4,2
Mouse4165-2024-08-19-08h58m57s,20.513,19.944,0.014,-0.014,4,2
Mouse4165-2024-08-19-12h11m21s,9.627,32.732,-0.545,0.545,4,1
Mouse4166-2024-08-19-09h04m18s,11.032,10.078,0.045,-0.045,3,1
Mouse4166-2024-08-19-12h11m42s,24.377,35.153,-0.181,0.181,3,2
Mouse4167-2024-08-19-08h57m23s,17.963,33.037,-0.296,0.296,4,1
Mouse4167-2024-08-19-12h10m35s,21.107,28.450,-0.148,0.148,3,1
Mouse4168-2024-08-19-08h57m49s,25.740,44.395,-0.266,0.266,3,2
Mouse4168-2024-08-19-12h11m12s,23.932,33.551,-0.167,0.167,4,2
Mouse4169-2024-08-19-09h15m24s,20.482,22.003,-0.036,0.036,3,1
Mouse4169-2024-08-19-12h28m00s,13.083,41.425,-0.520,0.520,3,2
Mouse4170-2024-08-19-09h15m48s,22.624,17.102,0.139,-0.139,4,2
Mouse4170-2024-08-19-12h28m10s,22.991,61.889,-0.458,0.458,4,1
Mouse4171-2024-08-19-09h14m17s,20.075,38.786,-0.318,0.318,4,1
Mouse4171-2024-08-19-12h26m47s,18.159,26.257,-0.182,0.182,3,1
Mouse4172-2024-08-19-09h14m42s,25.339,31.171,-0.103,0.103,3,2
Mouse4172-2024-08-19-12h27m30s,25.205,30.635,-0.097,0.097,4,2
Mouse4173-2024-08-19-09h30m15s,28.428,29.173,-0.013,0.013,3,1
Mouse4173-2024-08-19-12h40m44s,12.827,24.235,-0.308,0.308,3,2
Mouse4174-2024-08-19-09h30m40s,15.952,16.368,-0.013,0.013,4,2
Mouse4174-2024-08-19-12h41m07s,7.323,28.397,-0.590,0.590,4,1
Mouse4175-2024-08-19-09h29m11s,17.089,34.899,-0.343,0.343,4,1
Mouse4175-2024-08-19-12h39m44s,30.176,32.700,-0.040,0.040,3,1
Mouse4176-2024-08-19-09h29m47s,35.462,23.328,0.206,-0.206,3,2
Mouse4176-2024-08-19-12h40m13s,31.775,20.915,0.206,-0.206,4,2
Mouse4177-2024-08-19-09h47m53s,11.481,20.930,-0.292,0.292,3,1
Mouse4177-2024-08-19-12h56m59s,21.231,17.800,0.088,-0.088,3,2
Mouse4178-2024-08-19-09h48m20s,23.641,15.530,0.207,-0.207,4,2
Mouse4178-2024-08-19-12h57m25s,20.787,43.767,-0.356,0.356,4,1
Mouse4179-2024-08-19-09h46m51s,27.586,33.881,-0.102,0.102,4,1
Mouse4179-2024-08-19-12h56m19s,16.969,30.367,-0.283,0.283,3,1
Mouse4180-2024-08-19-09h47m28s,13.776,30.736,-0.381,0.381,3,2
Mouse4180-2024-08-19-12h56m48s,23.529,26.948,-0.068,0.068,4,2
Mouse4181-2024-08-19-10h02m42s,18.754,27.490,-0.189,0.189,3,1
Mouse4181-2024-08-19-13h12m52s,3.524,17.450,-0.664,0.664,4,2
Mouse4182-2024-08-19-10h03m08s,22.500,23.536,-0.022,0.022,4,2
Mouse4182-2024-08-19-13h13m32s,21.054,28.865,-0.156,0.156,4,1
Mouse4183-2024-08-19-10h01m49s,17.368,39.188,-0.386,0.386,4,1
Mouse4183-2024-08-19-13h12m06s,58.571,62.262,-0.031,0.031,3,1
Mouse4184-2024-08-19-10h02m16s,23.161,37.707,-0.239,0.239,3,2
Mouse4184-2024-08-19-13h12m38s,32.412,15.988,0.339,-0.339,4,2
Mouse4185-2024-08-19-10h21m08s,23.101,22.759,0.007,-0.007,3,1
Mouse4185-2024-08-19-13h26m40s,18.034,19.318,-0.034,0.034,3,2
Mouse4186-2024-08-19-10h21m36s,32.087,23.223,0.160,-0.160,4,2
Mouse4186-2024-08-19-13h26m59s,55.346,85.861,-0.216,0.216,4,1
Mouse4187-2024-08-19-10h20m10s,40.527,54.906,-0.151,0.151,4,1
Mouse4187-2024-08-19-13h25m34s,70.053,93.324,-0.142,0.142,3,1
Mouse4188-2024-08-19-10h20m32s,28.255,47.360,-0.253,0.253,3,2
Mouse4188-2024-08-19-13h26m10s,34.691,33.585,0.016,-0.016,4,2
Mouse4189-2024-08-19-10h33m27s,38.735,30.644,0.117,-0.117,3,1
Mouse4189-2024-08-19-13h38m24s,37.700,25.414,0.195,-0.195,3,2
Mouse4190-2024-08-19-10h34m11s,70.480,57.550,0.101,-0.101,4,2
Mouse4190-2024-08-19-13h38m51s,24.218,36.678,-0.205,0.205,4,1
