Folder,TimeObj1,TimeObj2,Discrimination_Index_1,Discrimination_Index_2,Quadrant1,Quadrant2
Mouse4161-2024-07-11-07h51m29s,39.216,50.746,-0.128,0.128,3,2
Mouse4161-2024-07-11-11h02m46s,46.791,44.646,0.023,-0.023,4,2
Mouse4162-2024-07-11-07h52m10s,48.830,32.871,0.195,-0.195,3,1
Mouse4162-2024-07-11-11h03m11s,28.526,62.356,-0.372,0.372,3,2
Mouse4163-2024-07-11-07h52m36s,49.949,47.688,0.023,-0.023,4,2
Mouse4163-2024-07-11-11h03m47s,26.368,68.956,-0.447,0.447,4,1
Mouse4164-2024-07-11-07h50m45s,17.973,32.162,-0.283,0.283,4,1
Mouse4164-2024-07-11-11h02m09s,38.590,42.770,-0.051,0.051,3,1
Mouse4165-2024-07-11-08h13m02s,28.691,51.114,-0.281,0.281,3,2
Mouse4165-2024-07-11-11h17m21s,32.613,32.847,-0.004,0.004,4,2
Mouse4166-2024-07-11-08h13m31s,23.766,28.825,-0.096,0.096,3,1
Mouse4166-2024-07-11-11h17m39s,26.034,61.725,-0.407,0.407,3,2
Mouse4167-2024-07-11-08h14m14s,0.643,36.429,-0.965,0.965,4,2
Mouse4167-2024-07-11-11h18m03s,27.099,41.462,-0.209,0.209,4,1
Mouse4168-2024-07-11-08h12m22s,23.290,43.654,-0.304,0.304,4,1
Mouse4168-2024-07-11-11h16m57s,4.001,27.928,-0.749,0.749,4,3
Mouse4169-2024-07-11-08h29m10s,28.691,36.769,-0.123,0.123,3,2
Mouse4169-2024-07-11-11h31m51s,39.517,41.193,-0.021,0.021,4,2
Mouse4170-2024-07-11-08h29m38s,25.827,35.361,-0.156,0.156,3,1
Mouse4170-2024-07-11-11h32m15s,28.886,46.522,-0.234,0.234,3,2
Mouse4171-2024-07-11-08h30m13s,36.050,42.774,-0.085,0.085,4,2
Mouse4171-2024-07-11-11h32m46s,34.497,27.386,0.115,-0.115,4,1
Mouse4172-2024-07-11-11h31m19s,16.960,23.865,-0.169,0.169,3,1
Mouse4173-2024-07-11-08h47m20s,33.082,44.746,-0.150,0.150,3,2
Mouse4173-2024-07-11-11h47m27s,37.540,22.222,0.256,-0.256,4,2
Mouse4174-2024-07-11-08h47m35s,39.547,29.204,0.150,-0.150,3,1
Mouse4174-2024-07-11-11h47m46s,14.950,43.800,-0.491,0.491,3,2
Mouse4175-2024-07-11-08h48m10s,46.641,48.314,-0.018,0.018,4,2
Mouse4175-2024-07-11-11h48m16s,25.731,40.551,-0.224,0.224,4,1
Mouse4176-2024-07-11-08h46m27s,22.015,37.936,-0.266,0.266,4,1
Mouse4176-2024-07-11-11h46m56s,26.408,15.348,0.265,-0.265,3,1
Mouse4177-2024-07-11-09h02m23s,38.210,46.187,-0.095,0.095,3,2
Mouse4177-2024-07-11-12h02m26s,35.629,23.898,0.197,-0.197,4,2
Mouse4178-2024-07-11-09h02m48s,24.665,35.294,-0.177,0.177,3,1
Mouse4178-2024-07-11-12h02m51s,21.408,31.286,-0.187,0.187,3,2
Mouse4179-2024-07-11-09h03m28s,27.926,38.738,-0.162,0.162,4,2
Mouse4179-2024-07-11-12h03m23s,20.738,33.261,-0.232,0.232,4,1
Mouse4180-2024-07-11-09h01m48s,25.762,25.842,-0.002,0.002,4,1
Mouse4180-2024-07-11-12h01m57s,21.540,25.559,-0.085,0.085,3,1
Mouse4181-2024-07-11-09h16m59s,33.384,44.746,-0.145,0.145,3,2
Mouse4181-2024-07-11-12h18m53s,31.976,47.226,-0.193,0.193,4,2
Mouse4182-2024-07-11-09h17m26s,16.179,18.172,-0.058,0.058,3,1
Mouse4182-2024-07-11-12h19m10s,7.237,10.619,-0.189,0.189,3,2
Mouse4183-2024-07-11-09h18m04s,28.924,33.995,-0.081,0.081,4,2
Mouse4183-2024-07-11-12h19m46s,18.828,38.356,-0.341,0.341,2,1
Mouse4184-2024-07-11-09h16m27s,26.686,33.880,-0.119,0.119,4,1
Mouse4184-2024-07-11-12h18m21s,21.009,27.584,-0.135,0.135,3,1
Mouse4185-2024-07-11-09h33m49s,28.658,26.445,0.040,-0.040,3,2
Mouse4185-2024-07-11-12h33m09s,13.206,29.898,-0.387,0.387,4,2
Mouse4186-2024-07-11-09h34m17s,22.048,27.466,-0.109,0.109,3,1
Mouse4186-2024-07-11-12h33m33s,16.187,19.324,-0.088,0.088,3,2
Mouse4187-2024-07-11-09h34m46s,NaN,NaN,NaN,NaN,NaN,NaN
Mouse4187-2024-07-11-12h33m59s,49.898,50.793,-0.009,0.009,4,1
Mouse4188-2024-07-11-09h33m04s,27.116,36.367,-0.146,0.146,4,1
Mouse4188-2024-07-11-12h32m34s,33.180,21.238,0.219,-0.219,3,1
Mouse4189-2024-07-11-09h47m09s,53.025,27.451,0.318,-0.318,3,2
Mouse4189-2024-07-11-12h46m12s,21.083,18.535,0.064,-0.064,4,2
Mouse4190-2024-07-11-09h47m39s,27.264,22.602,0.093,-0.093,3,1
Mouse4190-2024-07-11-12h46m26s,17.967,32.597,-0.289,0.289,3,2
