Folder,TimeObj1,TimeObj2,Discrimination_Index_1,Discrimination_Index_2,Quadrant1,Quadrant2
Mouse4161-2024-05-27-10h12m23s,30.562,46.062,-0.202,0.202,4,1
Mouse4161-2024-05-27-13h19m26s,39.216,22.833,0.264,-0.264,3,1
Mouse4162-2024-05-27-10h13m50s,45.817,22.221,0.347,-0.347,3,2
Mouse4162-2024-05-27-13h19m53s,26.043,14.446,0.286,-0.286,4,2
Mouse4163-2024-05-27-10h14m54s,18.267,6.301,0.487,-0.487,3,1
Mouse4163-2024-05-27-13h20m04s,25.373,5.363,0.651,-0.651,3,2
Mouse4164-2024-05-27-10h16m06s,47.565,28.282,0.254,-0.254,4,2
Mouse4164-2024-05-27-13h20m45s,25.313,40.662,-0.233,0.233,4,1
Mouse4165-2024-05-27-10h33m09s,16.509,11.264,0.189,-0.189,4,1
Mouse4165-2024-05-27-13h35m11s,18.904,12.133,0.218,-0.218,3,1
Mouse4166-2024-05-27-10h33m51s,76.219,23.831,0.524,-0.524,3,2
Mouse4166-2024-05-27-13h35m48s,19.407,22.222,-0.068,0.068,4,2
Mouse4167-2024-05-27-10h35m02s,5.396,7.441,-0.159,0.159,3,1
Mouse4167-2024-05-27-13h36m24s,7.106,4.793,0.194,-0.194,3,2
Mouse4168-2024-05-27-10h35m46s,26.830,22.779,0.082,-0.082,4,2
Mouse4168-2024-05-27-13h37m01s,12.463,35.106,-0.476,0.476,4,1
Mouse4169-2024-05-27-10h51m47s,20.593,19.351,0.031,-0.031,4,1
Mouse4169-2024-05-27-13h52m46s,3.575,11.408,-0.523,0.523,3,1
Mouse4170-2024-05-27-10h52m31s,28.088,55.405,-0.327,0.327,3,2
Mouse4170-2024-05-27-13h53m26s,6.838,3.385,0.338,-0.338,4,2
Mouse4171-2024-05-27-10h53m15s,25.574,22.859,0.056,-0.056,3,1
Mouse4171-2024-05-27-13h53m58s,27.686,13.374,0.349,-0.349,3,2
Mouse4172-2024-05-27-10h53m57s,23.491,40.047,-0.261,0.261,4,2
Mouse4172-2024-05-27-13h54m39s,20.064,41.735,-0.351,0.351,4,1
Mouse4173-2024-05-27-11h11m48s,18.335,58.736,-0.524,0.524,4,1
Mouse4173-2024-05-27-14h14m18s,22.554,33.068,-0.189,0.189,3,1
Mouse4174-2024-05-27-11h12m37s,24.669,40.188,-0.239,0.239,3,2
Mouse4174-2024-05-27-14h14m57s,14.346,28.021,-0.323,0.323,4,2
Mouse4175-2024-05-27-11h13m05s,29.496,16.859,0.273,-0.273,3,1
Mouse4175-2024-05-27-14h15m21s,21.317,16.323,0.133,-0.133,3,2
Mouse4176-2024-05-27-11h13m50s,3.885,8.812,-0.388,0.388,4,2
Mouse4176-2024-05-27-14h16m06s,3.164,3.004,0.026,-0.026,4,1
Mouse4177-2024-05-27-11h29m58s,17.396,64.220,-0.574,0.574,4,1
Mouse4177-2024-05-27-14h31m39s,16.145,40.841,-0.433,0.433,3,1
Mouse4178-2024-05-27-11h30m42s,32.009,38.713,-0.095,0.095,3,2
Mouse4178-2024-05-27-14h32m13s,18.468,20.747,-0.058,0.058,4,2
Mouse4179-2024-05-27-11h31m05s,28.088,21.854,0.125,-0.125,3,1
Mouse4179-2024-05-27-14h32m30s,30.568,24.133,0.118,-0.118,3,2
Mouse4180-2024-05-27-11h31m33s,27.368,31.055,-0.063,0.063,4,2
Mouse4180-2024-05-27-14h33m00s,25.398,51.117,-0.336,0.336,4,1
Mouse4181-2024-05-27-11h48m00s,32.110,39.115,-0.098,0.098,4,1
Mouse4181-2024-05-27-14h47m20s,21.277,41.675,-0.324,0.324,3,1
Mouse4182-2024-05-27-11h48m38s,28.457,22.155,0.125,-0.125,3,2
Mouse4182-2024-05-27-14h47m51s,24.937,16.457,0.205,-0.205,4,2
Mouse4183-2024-05-27-11h49m00s,20.345,36.300,-0.282,0.282,3,1
Mouse4183-2024-05-27-14h48m26s,5.262,15.820,-0.501,0.501,3,2
Mouse4184-2024-05-27-11h49m39s,23.429,29.929,-0.122,0.122,4,2
Mouse4184-2024-05-27-14h49m05s,12.226,24.692,-0.338,0.338,4,1
Mouse4185-2024-05-27-12h04m51s,2.725,26.168,-0.811,0.811,4,1
Mouse4185-2024-05-27-15h03m28s,11.847,10.702,0.051,-0.051,3,1
Mouse4186-2024-05-27-12h05m26s,24.468,30.434,-0.109,0.109,3,2
Mouse4186-2024-05-27-15h04m17s,16.323,19.608,-0.091,0.091,4,2
Mouse4187-2024-05-27-12h05m49s,16.658,17.932,-0.037,0.037,3,1
Mouse4187-2024-05-27-15h04m40s,17.865,8.346,0.363,-0.363,3,2
Mouse4188-2024-05-27-12h06m40s,5.564,10.808,-0.320,0.320,4,2
Mouse4188-2024-05-27-15h05m19s,12.270,24.340,-0.330,0.330,4,1
Mouse4189-2024-05-27-12h20m20s,28.945,60.295,-0.351,0.351,4,1
Mouse4189-2024-05-27-15h17m44s,20.647,36.568,-0.278,0.278,3,1
Mouse4190-2024-05-27-12h20m58s,35.562,40.456,-0.064,0.064,3,2
